Category,Sub-Category,Product ID,Product Name,Country,Region,State,City,Postal Code,Customer ID,Customer Name,Order Date,Order ID,Segment,Ship Date,Ship Mode,Year,Bottom Half,Discount,Number of Records,Outer Venn Position,Overlapping Customers,Overlapping Position,Profit,Profit Percentage,Quantity,Sales
Household goods,Bookcases,FUR-BO-10001798,Bush Somerset Collection Bookcase,United States,South,Kentucky,Henderson,42420,CG-12520,Claire Gute,8/11/2017,CA-2017-152156,Consumer,11/11/2017,Second Class,2020,1,0%,1,0,0,0,41.9136,16%,2,261.96
Household goods,Chairs,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",United States,South,Kentucky,Henderson,42420,CG-12520,Claire Gute,8/11/2017,CA-2017-152156,Consumer,11/11/2017,Second Class,2020,1,0%,1,0,0,0,219.582,30%,3,731.94
Stationary,Labels,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,United States,West,California,Los Angeles,90036,DV-13045,Darrin Van Huff,12/06/2017,CA-2017-138688,Corporate,16/06/2017,Second Class,2020,1,0%,1,0,1,0,6.8714,47%,2,14.62
Household goods,Tables,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,United States,South,Florida,Fort Lauderdale,33311,SO-20335,Sean O'Donnell,11/10/2016,US-2016-108966,Consumer,18/10/2016,Standard Class,2019,1,45%,1,0,1,0,-383.031,-40%,5,957.5775
Stationary,Storage,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,United States,South,Florida,Fort Lauderdale,33311,SO-20335,Sean O'Donnell,11/10/2016,US-2016-108966,Consumer,18/10/2016,Standard Class,2019,1,20%,1,0,1,0,2.5164,11%,2,22.368
Household goods,Furnishings,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",United States,West,California,Los Angeles,90032,BH-11710,Brosina Hoffman,9/06/2015,CA-2015-115812,Consumer,14/06/2015,Standard Class,2018,1,5%,1,0,1,0,14.1694,29%,7,48.86
Stationary,Art,OFF-AR-10002833,Newell 322,United States,West,California,Los Angeles,90032,BH-11710,Brosina Hoffman,9/06/2015,CA-2015-115812,Consumer,14/06/2015,Standard Class,2018,1,5%,1,0,1,0,1.9656,27%,4,7.28
Automobile,Phones,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,United States,West,California,Los Angeles,90032,BH-11710,Brosina Hoffman,9/06/2015,CA-2015-115812,Consumer,14/06/2015,Standard Class,2018,1,20%,1,0,1,0,90.7152,10%,6,907.152
Stationary,Binders,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,United States,West,California,Los Angeles,90032,BH-11710,Brosina Hoffman,9/06/2015,CA-2015-115812,Consumer,14/06/2015,Standard Class,2018,1,20%,1,0,1,0,5.7825,31%,3,18.504
Stationary,Appliances,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,United States,West,California,Los Angeles,90032,BH-11710,Brosina Hoffman,9/06/2015,CA-2015-115812,Consumer,14/06/2015,Standard Class,2018,1,5%,1,0,1,0,34.47,30%,5,114.9
